codigo;conta;grupo;saldo_anterior;debito;credito;saldo_atual
1.1.1;Caixa;caixa;5000;120000;118000;7000
1.1.2;Banco Conta Movimento;bancos;20000;250000;230000;40000
1.1.3;Adiantamento a Socios;socios;0;45000;5000;40000
1.2.1;Clientes a Receber;clientes;30000;190000;150000;70000
2.1.1;Simples Nacional a Recolher;tributos;0;0;9800;9800
2.1.2;INSS a Recolher;tributos;0;0;1200;1200
2.2.1;Emprestimos de Socios;socios;0;0;30000;30000
3.1.1;Receita de Servicos;receita;0;0;180000;180000
4.1.1;Pro Labore;folha;0;9000;0;-9000
4.1.2;Salarios e Encargos;folha;0;18000;0;-18000
4.2.1;Aluguel;despesas;0;15000;0;-15000
4.2.2;Servicos de Terceiros;despesas;0;75000;0;-75000
4.2.3;Viagens e Representacao;despesas;0;28000;0;-28000
5.1.1;Distribuicao de Lucros;lucros;0;65000;0;-65000
6.1.1;Resultado do Periodo;resultado;0;0;35000;35000
