codigo;conta;grupo;saldo_anterior;debito;credito;saldo_atual
1.1.1;Caixa;caixa;0;0;0;0
1.1.2;Banco Conta Movimento;bancos;0;0;0;0
1.1.3;Aplicacoes Financeiras;bancos;0;0;0;0
1.2.1;Clientes a Receber;clientes;0;0;0;0
1.2.2;Adiantamento a Socios;socios;0;0;0;0
2.1.1;Simples Nacional a Recolher;tributos;0;0;0;0
2.1.2;INSS a Recolher;tributos;0;0;0;0
2.1.3;ISS Retido ou a Recolher;tributos;0;0;0;0
2.2.1;Emprestimos de Socios;socios;0;0;0;0
3.1.1;Receita de Servicos;receita;0;0;0;0
3.1.2;Receita de Servicos com Retencao;receita;0;0;0;0
4.1.1;Pro Labore;folha;0;0;0;0
4.1.2;Salarios;folha;0;0;0;0
4.1.3;Encargos sobre Folha;folha;0;0;0;0
4.2.1;Aluguel;despesas;0;0;0;0
4.2.2;Servicos de Terceiros;despesas;0;0;0;0
4.2.3;Telefonia e Internet;despesas;0;0;0;0
4.2.4;Viagens e Representacao;despesas;0;0;0;0
4.2.5;Material de Escritorio;despesas;0;0;0;0
5.1.1;Distribuicao de Lucros;lucros;0;0;0;0
6.1.1;Resultado do Periodo;resultado;0;0;0;0
